zip,city,state,vertical,payoutFloor,pricingModel,isFlatRate,coverageZipCount,sourceRefreshedAt
39201,Jackson,MS,roofing-replacement,111.81,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
39201,Jackson,MS,garage-door-repair,10.02,CPL,false,72,2026-09-04T00:00:00.000Z
58102,Fargo,ND,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
58102,Fargo,ND,hvac-repair,27.23,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
58102,Fargo,ND,roofing-replacement,106.52,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
58102,Fargo,ND,garage-door-repair,10.14,CPL,false,72,2026-09-04T00:00:00.000Z
57104,Sioux Falls,SD,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
57104,Sioux Falls,SD,hvac-repair,26.93,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
57104,Sioux Falls,SD,roofing-replacement,89.91,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
57104,Sioux Falls,SD,garage-door-repair,8.83,CPL,false,72,2026-09-04T00:00:00.000Z
82001,Cheyenne,WY,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
82001,Cheyenne,WY,hvac-repair,29.54,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
82001,Cheyenne,WY,roofing-replacement,101.19,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
82001,Cheyenne,WY,garage-door-repair,8.51,CPL,false,72,2026-09-04T00:00:00.000Z
99501,Anchorage,AK,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
99501,Anchorage,AK,hvac-repair,27.55,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
99501,Anchorage,AK,roofing-replacement,83.91,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
99501,Anchorage,AK,garage-door-repair,8.45,CPL,false,72,2026-09-04T00:00:00.000Z
96813,Honolulu,HI,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
96813,Honolulu,HI,hvac-repair,37.09,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
96813,Honolulu,HI,roofing-replacement,122.44,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
96813,Honolulu,HI,garage-door-repair,13.32,CPL,false,72,2026-09-04T00:00:00.000Z
